city,it,bt,ownerNo,oem,model,centralVariantId,variantName,price,Insurance Validity,Fuel Type,Seats,Kms Driven,Transmission,Year of Manufacture,Power Steering,Air Conditioner,Heater,Comfort & Convenience_Comfort_Low Fuel Warning Light,Interior_Interior_Glove Compartment,Safety_Safety_Rear Seat Belts,Mileage,Engine,Max Power,Torque,Engine and Transmission_Engine_Color,Engine and Transmission_Engine_Engine Type,Engine and Transmission_Engine_No of Cylinder,Engine and Transmission_Engine_Values per Cylinder,Dimensions & Capacity_Dimensions_Length,Dimensions & Capacity_Dimensions_Width,Dimensions & Capacity_Dimensions_Height,Dimensions & Capacity_Dimensions_Wheel Base,Dimensions & Capacity_Dimensions_Kerb Weight,Miscellaneous_Miscellaneous_Gear Box,Miscellaneous_Miscellaneous_Front Brake Type,Miscellaneous_Miscellaneous_Rear Brake Type,Miscellaneous_Miscellaneous_Tyre Type,Miscellaneous_Miscellaneous_No Door Numbers
bangalore,0,Hatchback,3,Maruti,Maruti Celerio,3979,VXI,400000.0,Third Party insurance,Petrol,5,120000.0,Manual,2015.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,23.1,998.0,67.04,90.0,White,K10B Engine,3.0,4.0,3715.0,1635.0,1565.0,2425.0,835.0,5.0,Ventilated Disc,Drum,"Tubeless, Radial",5.0
bangalore,0,SUV,2,Ford,Ford Ecosport,6087,1.5 Petrol Titanium BSIV,811000.0,Comprehensive,Petrol,5,32706.0,Manual,2018.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,17.0,1497.0,121.31,150.0,White,Ti-VCT Petrol Engine,3.0,4.0,3998.0,1765.0,1647.0,2519.0,1242.0,5.0,Ventilated Disc,Drum,"Tubeless,Radial",4.0
bangalore,0,Hatchback,1,Tata,Tata Tiago,2983,1.2 Revotron XZ,585000.0,Comprehensive,Petrol,5,11949.0,Manual,2018.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,23.84,1199.0,84.0,114.0,Red,Revotron Engine,3.0,4.0,3746.0,1647.0,1535.0,2400.0,1012.0,5.0,Disc,Drum,Tubeless,5.0
bangalore,0,Sedan,1,Hyundai,Hyundai Xcent,1867,1.2 Kappa S Option,462000.0,Comprehensive,Petrol,5,17794.0,Manual,2014.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,19.1,1197.0,81.86,113.75,Others,Kappa VTVT Petrol Engine,4.0,4.0,3995.0,1660.0,1520.0,2425.0,1180.0,5.0,Disc ,Drum,"Tubeless,Radial",4.0
bangalore,0,SUV,1,Maruti,Maruti SX4 S Cross,4277,DDiS 200 Zeta,790000.0,Third Party insurance,Diesel,5,60000.0,Manual,2015.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,23.65,1248.0,88.5,200.0,Gray,DDiS 200 Diesel Engine,4.0,4.0,4300.0,1785.0,1595.0,2600.0,1230.0,5.0,Ventilated Disc,Solid Disc,"Tubeless,Radial",5.0
bangalore,0,SUV,1,Jeep,Jeep Compass,5931,2.0 Longitude BSIV,1900000.0,Third Party insurance,Diesel,5,20000.0,Manual,2020.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,17.1,1956.0,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet II Engine,4.0,4.0,4395.0,1818.0,1640.0,2636.0,1551.0,6.0,Disc,Discs,"Radial, Tubless",5.0
bangalore,0,Hatchback,1,Datsun,Datsun GO,5223,T Option BSIV,345000.0,Comprehensive,Petrol,5,37772.0,Manual,2017.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,20.63,1198.0,67.0,104.0,Grey,Petrol Engine,3.0,4.0,3785.0,1635.0,1490.0,2450.0,1070.0,5.0, Disc,Drum,Tubeless,5.0
bangalore,0,SUV,1,Hyundai,Hyundai Venue,6946,SX Plus Turbo DCT BSIV,1200000.0,Third Party insurance,Petrol,5,30000.0,Automatic,2021.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,18.15,998.0,118.35,171.6,Others,In-Line Engine,3.0,4.0,3995.0,1770.0,1605.0,2500.0,1440.0,7.0,Disc,Drum,Radial,5.0
bangalore,0,Sedan,1,Maruti,Maruti Ciaz,6555,Alpha Automatic BSIV,960000.0,Comprehensive,Petrol,5,37000.0,Automatic,2018.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,20.28,1462.0,103.25,138.0,Maroon,k15B VVT Engine,4.0,4.0,4490.0,1730.0,1485.0,2650.0,1105.0,4.0,Ventilated Disc,Drum,"Tubeless, Radial",4.0
bangalore,0,Hatchback,1,Tata,Tata Tiago,2985,1.2 Revotron XZ WO Alloy,585000.0,Comprehensive,Petrol,5,11949.0,Manual,2017.0,Power Steering,Air Conditioner,Heater,Low Fuel Warning Light,Glove Compartment,Rear Seat Belts,23.84,1199.0,84.0,114.0,Red,Revotron Engine,3.0,4.0,3746.0,1647.0,1535.0,2400.0,1012.0,5.0,Disc,Drum,Tubeless,5.0
